estate_name,long,lat,avg_price
卧龙墨水湖边,114.236342,30.536966,17991
武汉国博新城,114.234768,30.514928,17727
招商公园1872五期怡府,114.231376,30.539053,32676
纽宾凯汉city国际社区,114.2135,30.539951,16782
广电兰亭时代,114.222308,30.518302,16762
绿地中央广场,114.221591,30.520386,16450
佰尚商务广场,120.587983,31.388379,11148
金地澜菲溪岸,114.217952,30.519758,17352
天亚水景城,120.657979,31.380521,16765
嘉元花园北区,120.631407,31.374597,15089
安元佳苑一区,120.625667,31.395221,12641
乐苑小区,120.637371,31.369229,18810
天湖之春,120.652149,31.365414,15809
华美福邸,120.627679,31.362966,21747
国际服装城A区,120.639699,31.383843,14334
湖沁花园东区,120.65028491201,31.368275721884,13808
郦岛原墅,120.656272,31.379766,15370
邻蠡广场,120.642308,31.409772,10681
派克公寓,120.650285,31.364361,10843
安元佳苑二区,120.627602,31.396276,14769
天虹品上中心,120.644553,31.377769,12175
华美家园,120.62717943758,31.365566919228,17211
太阳花园,120.651147,31.412684,14923
安元佳苑三区,120.632372,31.394989,12609
知音别苑,120.629819,31.383311,15858
星云汇生活广场,120.641226,31.371087,12050
香府绿洲,120.649835,31.370073,23298
海亮香榭时光,120.630051,31.359926,10207
依云水岸,120.665376,31.376181,23723
永金商业广场,120.629914,31.3588,15085
书香国际,120.651448,31.36416,16184
安元佳苑四区,120.632462,31.39796,14320
誉相庭,120.647666,31.364311,23167
书香苑(相城),120.627962,31.391633,12891
晨曦怡庭,120.635085,31.398384,16064
德诚公寓,120.641203,31.378367,8312
湖沁花园西区,120.64798,31.367646,15305
和沁园,120.73745,31.488602,16591
阳澄花园东区,120.735785,31.493077,9600
聆湖丽墅,120.744634,31.491668,20499
阳澄花园西区,120.732346,31.493501,10537
盛世花园,120.698631,31.43853,13386
中惠爱丁堡,120.732233,31.489972,14630
金澄天地花园,120.697145,31.437416,15073
卓兴澜庭,120.693291,31.439924,15459
金澄花园二区,120.700029,31.439747,11631
春天璟墅,120.695806,31.435052,19540
金澄花园一区,120.702769,31.434511,9692
东渡海派青城,120.691616,31.435648,20455
阳澄领岛别墅,120.718006,31.4572,25631
阳光景庭,120.689576,31.439423,17986
西子花园,120.649695,31.405513,16958
雅戈尔紫玉花园,120.626497,31.36961,18491
南亚花园,120.654727,31.376605,15304
星湖花海,120.655297,31.395402,17468
万泾花园,120.629094,31.372697,17291
康锦苑,120.655612,31.373876,16496
泰元家园,120.64732,31.404278,15168
红鼎湾花园,120.658509,31.391314,17944
荣盛阳光名邸,120.640852,31.367348,19500
香城花园二区,120.643493,31.35987,19762
鑫鑫国际,120.652004,31.37991,13141
嘉元花园南区,120.631147,31.371395,13454
花南家园,120.619643,31.360595,17664
晨曦馨苑,120.636949,31.365864,20501
元和之春,120.629857,31.386123,16643
花好月圆,120.625042,31.379495,18575
凯翔国际广场公寓,120.644715,31.368704,12734
南山檀郡,120.640992,31.373494,25950
万宇名都花园,120.635463,31.393637,19466
晨曦印象花园,120.63827,31.359138,19366
香城花园一区,120.64335668224,31.36296909085,17821
香城花园三区,120.63884164271,31.362387912553,20744
海亮香榭里,120.630818,31.358545,24525
锦绣江南,120.626228,31.382139,16563
香城颐园,120.632534,31.361166,22634
康桥丽都,120.637031,31.376594,21835
欧风丽苑,120.632471,31.365159,19689
嘉和丽园,120.625491,31.384944,17374
永嘉花园,120.594706,31.382609,17719
佳兆业君汇上品,120.590233,31.388863,16874
相韵花园,120.598021,31.3821,16287
尚景湾,120.601399,31.384135,16308
荷美名邸,120.594907,31.406873,20527
丽滩别墅,120.561801,31.433538,18089
金星花苑（二区）,120.564472,31.434993,13589
盛园,120.517945,31.436251,15702
憧憬新村,120.579548,31.441811,12188
裴巷新村,120.560869,31.436168,9865
商城花苑,120.561945,31.438283,11571
冠城水岸,120.562713,31.432425,14701
泰峰名人金谷园,120.556025,31.441171,14158
建邦唯园,120.569168,31.421267,24520
裴圩家园,120.554526,31.436258,12286
金星花苑,120.561843,31.435322,9707
冠城大通蓝湾,120.568134,31.423601,18658
春申景城,120.557813,31.440436,14929
玉莲新村,120.565558,31.449819,11712
建邦华府,120.562287,31.445477,17619
融创81栋,120.563149,31.423247,26545
咏春花苑,120.542937,31.430149,11000
丽岛别墅,120.55537,31.431381,16813
宝润168广场,120.678651,31.471882,5785
御湖佳苑,120.657342,31.470457,16306
翡翠家园东区,120.677497,31.460085,10000
渭星花园,120.661779,31.472445,18692
金艺百汇广场,120.65275,31.467178,13200
朗悦湾,120.672635,31.467852,14748
商苑公馆,120.653853,31.466028,13644
辛祝路60号,117.090557,36.69617,12430
丽致星河,120.664177,31.468506,12000
湖岸明珠,120.671035,31.473291,9576
玉盘家园,120.667367,31.475245,11575
朗悦湾西区,120.670213,31.468198,15417
合景峰汇瑜翠园,120.630249,31.47032,14821
渭塘之星,120.673457,31.466655,6364
辛祝路76号,117.092156,36.695533,15249
海伦堡珍珠湾花园,120.671862,31.47651,25000
七里堡社区东区,117.07631697567,36.697968085895,15176
祝甸社区,117.090393,36.699436,15041
洪苑小区,117.077639,36.695533,18780
七里堡北区,117.07755187132,36.699495209932,16835
燕舞园,117.09505929769,36.695952012539,17213
七里堡小区南区,117.08028863633,36.697626653023,16947
假日丽景花园小区西区,117.0984152097,36.698990419853,21320
化纤小区,117.094725,36.698687,20404
泉印兰亭,117.09000973773,36.695165643805,20881
保利海德公馆,117.084767,36.700347,19731
上海花园,117.0966003024,36.705544712943,18976
富翔天地,117.08343015596,36.69385397509,19807
西塘小区,120.651251,31.177034,12554
静怡小区,120.644163,31.178283,11313
鱼行街散盘,120.723192,31.163227,32635
龙河花园,120.636752,31.118904,16239
华东商业城商务公寓,120.678973,31.189596,7112
正大家园,120.653073,31.173775,13228
亨通吴越锦绣,120.633082,30.92705,11111
明丰环湖花园,120.866213,31.04149,16500
水城名邸,120.868099,31.040858,12696
明丰花园,120.848397,31.023498,9941
江南岸,120.835817,31.03289,15764
嘉乐城,120.85817,31.040393,13214
华府壹区,120.861647,31.036038,14474
香悦水岸,120.875041,31.055089,11079
丽湖华庭,120.395547,30.949297,6447
太湖明珠南泊湾,120.411387,30.961981,7388
福和苑,120.60678,31.07194,9569
南港悦府,120.479251,31.00341,9267
嘉鸿花园,120.655108,31.172704,12447
望景华庭,120.551112,31.018887,9807
蚕花公寓,120.67028,30.91242,7747
湖滨花园（吴江）,120.657068,30.909451,8922
新华花园,120.678212,30.907742,10337
锦江家园,120.653274,31.176955,15000
新湖明珠城米兰苑,120.635591,31.18643,20220
吴越尚院,120.632709,31.17796,18333
吴越祥院,120.639285,31.177408,16820
新湖明珠城罗马苑,120.637157,31.188882,19326
新湖明珠城丹桂苑,120.64072,31.184214,19191
江南水乡满庭芳,120.732037,31.15783,16279
竹行街,120.723712,31.162999,23077
紫来华府,120.732271,31.151468,11015
中粮本源,120.741678,31.17523,17342
多元小区,120.169977,36.013579,19440
黄河中路247号,120.15100096732,36.025597819662,11287
黄河中路410、412号,120.1447213936,36.024118176539,14379
黄河中路384、386号,120.14759915315,36.02424223724,13407
马家楼社区,120.17315067755,36.043178485378,14129
金帝苑小区,120.117613,36.023669,14997
世纪新苑,120.16970727346,36.036298233821,15358
辛明园,120.14984570539,36.030213754515,15308
吴越祥庭,120.640469,31.179942,17312
龙庭锦绣花园,120.647941,31.177737,14915
九龙豪苑,120.651578,31.184638,15873
吴越嶺秀,120.635991,31.176547,16372
垂虹家园,120.655948,31.159166,15503
丽景国际,120.668126,31.16856,14307
新湖明珠城聆湖苑,120.645151,31.192114,19394
阳光悦湖豪苑,120.632275,31.166226,15462
星宝花园,120.666401,31.139875,16666
东方海悦花园,120.667083,31.172542,13724
三官桥小区,120.648533,30.989693,7738
欧风华庭,120.633882,31.174148,15896
鲈乡二区,120.647266,31.169371,13200
莱福公寓,120.649311,31.160767,12953
盛世名门,120.640007,31.165398,12426
云梨小区,120.667367,31.165667,8785
鲈乡四区,120.646822,31.170774,10303
锦安小区,120.6359,31.170359,11188
中山同仁嘉园,120.655904,31.174539,17013
阳光新天地,120.660426,31.139671,14979
垂虹路313号小区,120.655589,31.160524,12621
联杨新村北区,120.639176,31.129673,12183
锦怡花园,120.636019,31.174967,16751
梅石小区,120.631288,31.161248,14646
山湖花园一区,120.694219,31.163696,14782
山湖鸿雅苑,120.693011,31.154145,11720
新都汇城市广场,120.661797,31.147873,8357
湖滨华城畅意苑,120.631281,31.130392,14179
瑞景国际,120.65304,31.128735,15907
香江花园,120.659151,31.170528,11917
星湖湾花园,120.668664,31.157648,14465
伟业银座,120.668318,31.168032,9084
山湖秀峰苑,120.698798,31.157756,11262
鲈乡二村,120.642329,31.168927,11931
金域华府,120.656621,31.147701,15208
百盛花园（吴江）,120.654338,30.983744,8930
鼎基丽湾域,120.628461,31.154319,12902
奥斯卡花园,120.670074,31.170765,11800
锦尚花园,120.679979,31.072033,11429
水乡花园,120.644156,31.15556,11149
捷达名轩,120.668188,31.164001,11212
亨通长安府,120.656213,31.136191,15621
景瑞东环之歌,120.679045,31.186692,16818
湖滨华城吉祥苑,120.630576,31.126926,12184
格林华城,120.682552,31.187371,16333
山湖嘉晖苑,120.693704,31.157852,12517
格林悦城花园,120.683576,31.188603,14674
南悦豪庭,120.6399,31.122814,11123
朗诗太湖绿郡,120.631169,31.119167,24638
湖滨华城富贵苑,120.636752,31.134701,12913
中南世纪城,120.646808,31.135589,18652
美岸青城幸福里,120.665717,31.174504,13727
奥林运河湾,120.671381,31.188598,13379
卓锦兰香,120.668125,31.159749,13633
奥林清华,120.641589,31.144823,21131
阳光嘉园,120.672707,31.186993,12726
苏高新地产天城花园,120.669998,31.138502,14900
天和人家,120.647857,31.180869,11932
新柳溪花园,120.647489,31.187684,12735
蓝光天悦城,120.622341,31.149139,22075
吴江新城吾悦广场,120.625482,31.143134,15654
伟业迎春城橙家,120.661307,31.210955,15926
中房颐园,120.618712,31.149556,20420
首开太湖一号,120.608226,31.146399,20405
绿地太湖城,120.604489,31.132614,19707
新城招商香溪源,120.645416,31.228388,17661
苏州湾壹号,120.600968,31.148871,22549
西湖花苑,120.647212,31.205998,15246
吴江上海城,120.640019,31.182204,14200
伟业迎春丽家,120.659286,31.219154,15924
丽湾国际,120.638912,31.18008,14369
青青世界,120.16961987607,36.032933284546,12105
新湖明珠城紫桂苑,120.642713,31.187264,18689
辛明园东区,120.15313119313,36.030032995827,16768
顺源家园,120.16240108107,36.030298114245,11859
伟业迎春世家,120.653735,31.217673,16568
黄河中路226-230（双号）,120.15269945674,36.025119491646,13524
华润凯旋门,120.628564,31.142443,17245
新湖明珠城望湖苑,120.634061,31.184864,17693
正友花园,120.14331757045,36.023302672804,15044
天智苑,120.17096,36.033017,15241
珠山苑,120.1691519657,36.031155398462,13812
伟业迎春华府,120.657528,31.217394,16181
海亮长桥府,120.653572,31.184529,17855
伟业迎春乐家,120.661239,31.212704,16889
新城红树湾,120.641264,31.228294,18800
临港花园,120.168513,36.013078,16206
冠庭江山,120.17497,36.036603,17308
丰泽家园,120.1714396587,36.03347178679,10335
东小庄社区,120.15716366343,36.020278536151,16510
珠海雅苑,120.16849654699,36.013358733318,12624
蜊叉泊社区,120.158434,36.011819,11189
世纪新村,120.16668110846,36.031114095171,12526
蓝色港湾,120.171397,36.037726,13950
鑫汇阳光,120.170713,36.013915,18091
铁路小区,120.174554,36.034752,12783
新港花园,120.17662367069,36.018466785747,16116
薛家泊子社区,120.16583592888,36.029003203693,16650
兴宝苑,120.15857253896,36.027414703809,17895
芙蓉苑,120.156777,36.028837,16267
星河嘉园,120.164379,36.026449,17742
澳柯玛科技人才公寓,120.15111598366,36.018533698971,13831
兴悦华城,120.15900989477,36.02295483898,17800
福瀛国际公寓,120.14634340165,36.031060217703,7446
鲁泽观天下,120.17441291236,36.031891257631,13526
海尔幸福里,120.15990676647,36.013309838963,16967
兴悦华城西区,120.15539989801,36.022943491231,17251
德兴东街,116.985006,36.65514,14205
奥莱汇,114.267731,30.73571,13520
F、空港中心城,114.264698,30.714639,12323
巢nest,114.259141,30.708436,14417
未来海岸,114.280019,30.752674,11068
巢上城俊园,114.252762,30.708612,12237
汉飞向上城,114.279266,30.714121,15655
奥特莱斯V公寓,114.263451,30.739404,9534
罗纳河谷,114.260697,30.690955,10764
龙城懿品,114.271385,30.713461,12922
中城时代商业街,114.292332,30.709561,13075
名流人和天地五期,114.285408,30.720602,13020
天纵颐景康城,114.266735,30.72676,13288
名流人和天地六期,114.281888,30.718659,12649
日月山水西区,114.303365,30.700651,12582
天玺花园,114.274437,30.72625,11293
一品国际,114.29146,30.711829,13172
哥特帝景,114.25284,30.711928,11613
盘龙新天地一期,114.250628,30.715373,9534
名流人和天地三期,114.281836,30.718653,12488
天汇龙城二期,114.276905,30.717099,12806
宝安中国院子三期,114.262685,30.703959,26380
名流人和天地一期,114.281407,30.716247,10905
28街,114.270227,30.72033,11092
恒达盘龙湾荷苑,114.270695,30.730301,15054
巢上城御墅,114.254971,30.706721,13267
F学府,114.255146,30.7381,12646
汉飞洋房印象,114.255561,30.689526,11189
盘龙新天地二期,114.250896,30.713568,10394
珩生领袖城,114.269092,30.717014,11634
天纵城,114.310286,30.69892,13014
龙城.天居园,114.260448,30.716245,13476
盘龙水岸沁园,114.275773,30.73411,9642
F天下,114.257501,30.725233,24234
恒大龙城,114.233952,30.728081,11450
宝安中国院子,114.262316,30.701637,17113
汉口湖畔,114.264619,30.733312,13248
中铁财智中心,117.127333,36.689456,13358
珑璟轩,114.254194,30.717883,25859
巢上城锦园,114.25661,30.708321,12967
天汇龙城,114.276422,30.71741,12360
盛世花城公寓,117.130877,36.694672,12655
鼎鑫摩卡小镇,114.253574,30.714596,11878
高新万达广场,117.135025,36.692972,20347
歌林花园,114.261816,30.715334,12240
汇展香格里拉,117.12943188864,36.693108555846,10687
万润橄榄城,114.250825,30.727528,12537
未来城,117.140741,36.695063,21177
恒大名都,114.298536,30.704618,12229
盛世花城,117.133226,36.694795,19611
普利槐荫大厦,116.974276,36.656866,9946
新生活家园南区,117.127495,36.694549,21713
鑫苑国际城市花园,117.141875948,36.691690851082,20828
道德商城,116.982324,36.660315,17618
连城国际,116.988559,36.655354,16625
东小辛庄1到4号楼,116.988267,36.656067,20800
振兴街小区,116.983016,36.656439,19938
